name,date,cities,funct,lat,longi,idn,iplace,ibio,url
"Sauter, Carl Wilhelm",1810 bis 1882,,,,,122727878,0,0,http://www.deutsche-biographie.de/sfzS01350.html
"Schack, Henneke",gestorben 1389,,,,,138114390,0,0,http://www.deutsche-biographie.de/sfz77877.html
"Schallesius, Samuel",1585 bis 1638,,,,,124654703,0,0,http://www.deutsche-biographie.de/sfz6782.html
"Sawicki, August",erwähnt 1877,,,,,139834109,0,0,http://www.deutsche-biographie.de/sfz110389.html
"Schaible, Kamill",1837 bis 1906,,,,,12191058X,0,0,http://www.deutsche-biographie.de/sfzS02039.html
"Schalling, Martin",1532 bis 1608,,,,,122254678,0,0,http://www.deutsche-biographie.de/sfz77950.html
"Schale, Christian Friedrich",1713 bis 1800,Berlin,wirk0,52.500000,13.416669,104206896,1,0,http://www.deutsche-biographie.de/sfzS02057.html
"Schale, Christian Friedrich",1713 bis 1800,Berlin,wirk1,52.500000,13.416669,104206896,1,0,http://www.deutsche-biographie.de/sfzS02057.html
"Schaff, David S.",1852 bis 1941,,,,,139498281,0,0,http://www.deutsche-biographie.de/sfz110771.html
"Schaefer, Friedrich Hans",1908 bis 1998,Rostock,wirk0,54.088700,12.140489,13919228X,1,0,http://www.deutsche-biographie.de/sfzS01724.html
"Schack, Rudolf von",1825 bis 1906,,,,,139493395,0,0,http://www.deutsche-biographie.de/sfz110497.html
"Schanz, Norbert",gestorben 1903,,,,,139511393,0,0,http://www.deutsche-biographie.de/sfz110921.html
"Schaechterle, Ludwig",1815 bis 1882,,,,,139494014,0,0,http://www.deutsche-biographie.de/sfz110533.html
"Schallauczer, Hermes",1503 bis 1561,,,,,11981644X,0,0,http://www.deutsche-biographie.de/sfz52393.html
"Savigny, von",unbekannt,,,,,119443538,0,0,http://www.deutsche-biographie.de/sfz110368.html
"Sayn-Wittgenstein-Berleburg, Friedrich Fürst zu",1766 bis 1837,,,,,139492852,0,0,http://www.deutsche-biographie.de/sfz110446.html
"Sayve, Erasmus de","erwähnt 1613, gestorben 1617",,,,,138112738,0,0,http://www.deutsche-biographie.de/sfz77840.html
"Scanzoni, Karl",1869 bis 1918,,,,,139492968,0,0,http://www.deutsche-biographie.de/sfz110452.html
"Schaesberg, Johann Friedrich Graf von",1663 oder 1664  bis 1723,,,,,136067271,0,0,http://www.deutsche-biographie.de/sfz22604.html
"Schaltdorfer, Erasmus",1440 bis 1536,,,,,103143785,0,0,http://www.deutsche-biographie.de/sfzS02129.html
"Schaffrath, Christoph",1709 bis 1763,Hohnstein,wirk0,50.979909,14.114079,129014893,1,0,http://www.deutsche-biographie.de/sfzS02015.html
"Schaffrath, Christoph",1709 bis 1763,Berlin,wirk1,52.500000,13.416669,129014893,1,0,http://www.deutsche-biographie.de/sfzS02015.html
"Saussure, Nicolas-Théodore de",1767 bis 1845,,,,,117020079,0,0,http://www.deutsche-biographie.de/sfz123993.html
"Schaefer, Karl",1870 bis 1942,,,,,117098434,0,0,http://www.deutsche-biographie.de/sfzS01776.html
"Saxesen, Friedrich Wilhelm Reisig",1794 bis 1850,,,,,138576912,0,0,http://www.deutsche-biographie.de/sfzS01417.html
"Schade, Friedrich Alwin",geboren 1881,Putzkau,wirk0,51.099750,14.232590,139832386,1,0,http://www.deutsche-biographie.de/sfzS01622-5.html
"Schade, Friedrich Alwin",geboren 1881,Putzkau,wirk1,51.099750,14.232590,139832386,1,0,http://www.deutsche-biographie.de/sfzS01622-5.html
"Schade, Friedrich Alwin",geboren 1881,Dresden,wirk2,51.050890,13.738319,139832386,1,0,http://www.deutsche-biographie.de/sfzS01622-5.html
"Savigny, Leo von",1863 bis 1910,,,,,117022071,0,0,http://www.deutsche-biographie.de/sfz110374.html
"Sax, Heinrich II. von",gestorben 1248,,,,,139581596,0,0,http://www.deutsche-biographie.de/sfz110404.html
"Schadow, Rudolf",1766 bis 1838,,,,,139493735,0,0,http://www.deutsche-biographie.de/sfz110522.html
"Schaffgotsch, Franz Ernst Graf von",1760 bis 1809,,,,,104259965,0,0,http://www.deutsche-biographie.de/sfzS01981.html
"Sayn-Wittgenstein-Sayn, Ludwig Graf zu",1571 bis 1634,,,,,128571101,0,0,http://www.deutsche-biographie.de/sfz110438.html
"Scanzoni, Heinrich",1886 bis 1914,,,,,139492992,0,0,http://www.deutsche-biographie.de/sfz110455.html
"Schallopp, Emil",1843 bis 1919,Friesack,wirk0,52.737639,12.579689,139688471,1,0,http://www.deutsche-biographie.de/sfzS02123.html
"Schallopp, Emil",1843 bis 1919,Steglitz <Landkreis Teltow>,wirk1,52.452979,13.331390,139688471,1,0,http://www.deutsche-biographie.de/sfzS02123.html
"Schallopp, Emil",1843 bis 1919,Berlin,wirk2,52.500000,13.416669,139688471,1,0,http://www.deutsche-biographie.de/sfzS02123.html
"Schaezler, Wilhelm Heinrich Freiherr von",1797 bis 1887,,,,,,0,0,http://www.deutsche-biographie.de/sfz129667.html
"Schaefer, Ludwig",1860 bis 1945,,,,,133587967,0,0,http://www.deutsche-biographie.de/sfzS01789.html
"Sax, Ulrich VI. von",gestorben 1388,,,,,139581898,0,0,http://www.deutsche-biographie.de/sfz110413.html
"Sayn-Wittgenstein-Berleburg, Ottokar Graf zu",1911 bis 1995,,,,,107915235,0,0,http://www.deutsche-biographie.de/sfzS01452.html
"Schack, Hans von",1609 bis 1676,Unewatt,wirk0,54.796669,9.654999,142708240,1,0,http://www.deutsche-biographie.de/sfzS01599.html
"Schack, Hans von",1609 bis 1676,Kopenhagen,wirk1,55.675939,12.565530,142708240,1,0,http://www.deutsche-biographie.de/sfzS01599.html
"Schaffgotsch, Hans Ulrich Graf von",1831 bis 1915,,,,,120488051,0,0,http://www.deutsche-biographie.de/sfz22605.html
"Schaefer, Carl",1887 bis 1970,Ludwigsburg,wirk0,48.897309,9.191610,1012387747,1,0,http://www.deutsche-biographie.de/sfzS01777.html
"Schacht, Theodor Philipp",1682 bis 1731,Dillenburg,wirk0,50.741140,8.286989,1015408915,1,0,http://www.deutsche-biographie.de/sfzS01578.html
"Schacht, William",geboren 1845,,,,,139493204,0,0,http://www.deutsche-biographie.de/sfz110487.html
"Sax, Johann Peter Graf von",1462 bis 1540,,,,,139489584,0,0,http://www.deutsche-biographie.de/sfz110412.html
"Savigny, Maria Freda von",1859 bis 1890,,,,,139489495,0,0,http://www.deutsche-biographie.de/sfz110376.html
"Schaeder, Hildegard",1902 bis 1984,,,,,119394286,0,0,http://www.deutsche-biographie.de/sfzS01683.html
"Schackow, Johanna",gestorben 1903,,,,,,0,0,http://www.deutsche-biographie.de/sfz125209.html
"Schalek, Norbert",unbekannt,,,,,141125039,0,0,http://www.deutsche-biographie.de/sfz110869.html
"Schafheitlin, Stefan",geboren 1943,,,,,139499407,0,0,http://www.deutsche-biographie.de/sfz110849.html
"Schalk, Friedrich",1862 bis 1935,,,,,139510427,0,0,http://www.deutsche-biographie.de/sfz110875.html
"Sausele, Heinz",1862 bis 1938,,,,,117019844,0,0,http://www.deutsche-biographie.de/sfzS01326.html
"Schacherl, Max Gerwin",1876 bis 1964,Wien,wirk0,48.208199,16.371690,107542994,1,0,http://www.deutsche-biographie.de/sfzS01544.html
"Schabus, Jacob Joseph",1825 bis 1867,,,,,117090409,0,0,http://www.deutsche-biographie.de/sfzS01528.html
"Schaffer, Josef",1861 bis 1839,Wien,wirk0,48.208199,16.371690,117100749,1,0,http://www.deutsche-biographie.de/sfzS01971.html
"Schafgans, Theo",1892 bis 1976,,,,,140544968,0,0,http://www.deutsche-biographie.de/sfz110837.html
"Schallbroch, Heinrich",1897 bis 1978,,,,,118753991,0,0,http://www.deutsche-biographie.de/sfzS02090.html
