name,date,leben,lengthleben,idn,iplace,ibio,url
Elisabeth,1801 bis 1873,,0,118688634,0,0,http://www.deutsche-biographie.de/sfz56836.html
"Eisenstaett, Alfred",1898 bis 1995,,0,139493158,0,0,http://www.deutsche-biographie.de/sfz110468.html
"Eitzenberger, Martin",1855 bis 1907,,0,133461092,0,0,http://www.deutsche-biographie.de/sfz037_00048_1.html
"Engel, Erich",1891 bis 1966,,0,118684647,0,0,http://www.deutsche-biographie.de/sfz125714.html
"Eisenlohr, Friedrich",1831 bis 1904,,0,137315945,0,0,http://www.deutsche-biographie.de/sfz12922.html
"Endriss, Karl",1867 bis (26.9.?)10.1927,,0,116478071,1,0,http://www.deutsche-biographie.de/sfz037_00719_1.html
"Elsner, Richard",1905 bis 1994,,0,139768858,0,0,http://www.deutsche-biographie.de/sfz103321.html
"Ellinger, Philipp",1887 bis 1952,,0,137315066,0,0,http://www.deutsche-biographie.de/sfz13066.html
"Elsener, Ferdinand",1912 bis 1982,,0,118530038,1,0,http://www.deutsche-biographie.de/sfz037370-5.html
Elisabeth von Bayern,gestorben 1189,,0,136846777,0,0,http://www.deutsche-biographie.de/sfz52890.html
Emerenz,1874 bis 1928,,0,118580043,0,0,http://www.deutsche-biographie.de/sfz037_00506_1.html
Emma,gestorben 990,,0,13590398X,0,0,http://www.deutsche-biographie.de/sfz13168.html
"Elsevier, Aegidius","erwähnt 1580, gestorben 1651",,0,138799318,0,0,http://www.deutsche-biographie.de/sfz98479.html
"Emsheimer, Ernst",geboren 1904,,0,134236866,0,0,http://www.deutsche-biographie.de/sfz037_00611_1.html
"Ellissen, Gumperz Isaak",1755 bis 1818,,0,1015353576,0,0,http://www.deutsche-biographie.de/sfz123395.html
"Endres, Wilhelm",geboren 1893,,0,,0,0,http://www.deutsche-biographie.de/sfz126532.html
"Emge, Hans","geboren 1878, erwähnt 1936",,0,141535008,0,0,http://www.deutsche-biographie.de/sfz42296.html
"Eller, Louis",1819 bis 1862,,0,11645136X,0,0,http://www.deutsche-biographie.de/sfz037_00289_1.html
"Elbers, Johann Heinrich",1762 bis 1852,,0,136093361,0,0,http://www.deutsche-biographie.de/sfz23261.html
"Elcho, Rudolf",1839 bis 1923,,0,116446757,0,0,http://www.deutsche-biographie.de/sfz68294.html
Eleonore,1123 bis 1204,,0,118529757,0,0,http://www.deutsche-biographie.de/sfz69713.html
"Elsevier, Jakob",1597 bis nach 1652   ,,0,138799903,0,0,http://www.deutsche-biographie.de/sfz98483.html
"Endersch, Johann Friedrich",1705 bis 1769,,0,128780312,1,0,http://www.deutsche-biographie.de/sfz037_00688_1.html
"Eisenstuck, Johann Christian",1757 bis 1831,,0,13590482X,0,0,http://www.deutsche-biographie.de/sfz12936.html
Elisabeth Dorothea,1676 bis 1721,,0,136846564,0,0,http://www.deutsche-biographie.de/sfz52875.html
"Eisenhart-Rothe, Paul von",5.4.1857 bis 1923,,0,137766335,1,0,http://www.deutsche-biographie.de/sfz036_00362_1.html
"Eisler, Hanns",1898 bis 1962,,0,118529692,0,0,http://www.deutsche-biographie.de/sfz60942.html
Elisabeth von Polen,gestorben 1361,,0,1021091022,0,0,http://www.deutsche-biographie.de/sfz121754.html
"Enenkel, Job Hartmann von",1576 bis 1627,,0,14015731X,1,0,http://www.deutsche-biographie.de/sfz037_00732_1.html
"Endell, Carl Friedrich",1843 bis 1891,,0,135903696,0,0,http://www.deutsche-biographie.de/sfz13210.html
"Eise, Albert",1895 bis 1942,,0,118529617,0,0,http://www.deutsche-biographie.de/sfz036_00302_1.html
"Emmert, Friedrich",1802 bis 1868,,0,141323280,0,0,http://www.deutsche-biographie.de/sfz037_00574_1.html
"Emmerich, Juda Lima",gestorben 1711,,0,136969992,0,0,http://www.deutsche-biographie.de/sfz60945.html
"Enderlein, Günther",geboren 1872,,0,118684582,1,0,http://www.deutsche-biographie.de/sfz037_00675_1.html
"Eliot, Thomas S.",1888 bis 1965,,0,118529854,0,0,http://www.deutsche-biographie.de/sfz129583.html
"Ellmenreich, Louis",1839 bis 1912,,0,116452161,0,0,http://www.deutsche-biographie.de/sfz13077.html
"Endres, Heinz",1925 bis 2003,,0,133784118,0,0,http://www.deutsche-biographie.de/sfz037_00708_1.html
